playerID,yearID,Age,teamID,lgID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,HBP,SH,SF,IBB
arciaor01,2017,22,MIL,NL,153,548,506,56,140,17,2,15,53,14,7,36,100,0.277,0.324,0.407,0.731,89,206,10,1,2,3,9
arenano01,2017,26,COL,NL,159,680,606,100,187,43,7,37,130,3,2,62,106,0.309,0.373,0.586,0.959,132,355,21,4,1,6,9
armstsh01,2017,26,CLE,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arrieja01,2017,31,CHC,NL,29,64,61,2,8,0,1,1,5,0,0,1,32,0.131,0.145,0.213,0.358,-9,13,0,0,2,0,0
arroybr01,2017,40,CIN,NL,15,29,26,0,4,0,0,0,0,0,0,0,10,0.154,0.154,0.154,0.308,-19,4,0,0,3,0,0
arroych01,2017,22,SFG,NL,34,135,125,9,24,5,0,3,14,1,2,8,32,0.192,0.244,0.304,0.548,45,38,4,1,0,1,1
ascheco01,2017,27,CHW,AL,19,62,57,5,6,1,0,1,4,0,0,3,21,0.105,0.177,0.175,0.353,-4,10,1,2,0,0,1
asheral01,2017,25,BAL,AL,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
astinba01,2017,25,CIN,NL,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
asuajca01,2017,25,SDP,NL,89,343,307,28,83,14,1,4,21,0,1,28,76,0.27,0.334,0.362,0.696,88,111,6,2,5,1,0
austity01,2017,25,NYY,AL,20,46,40,4,9,2,0,2,8,0,0,4,17,0.225,0.283,0.425,0.708,83,17,1,0,0,2,0
avilaal01,2017,30,CHC,NL,35,112,92,11,22,2,1,3,17,0,0,19,40,0.239,0.369,0.38,0.75,96,35,4,0,1,0,0
avilaal01,2017,30,DET,AL,77,264,219,30,60,11,0,11,32,0,1,43,80,0.274,0.394,0.475,0.869,129,104,6,1,0,1,2
avilalu01,2017,27,LAD,NL,58,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
avilemi01,2017,36,MIA,NL,37,97,86,5,20,2,0,1,8,0,0,6,15,0.233,0.298,0.291,0.589,61,25,3,2,3,0,2
axforjo01,2017,34,OAK,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aybarer01,2017,33,SDP,NL,108,370,333,37,78,15,1,7,22,11,4,28,57,0.234,0.3,0.348,0.648,74,116,5,4,3,2,2
baderha01,2017,23,STL,NL,32,92,85,10,20,3,0,3,10,2,1,5,24,0.235,0.283,0.376,0.659,72,32,1,1,0,1,1
baezja01,2017,24,CHC,NL,145,508,469,75,128,24,2,23,75,10,3,30,144,0.273,0.317,0.48,0.796,103,225,10,1,6,2,15
baezpe01,2017,29,LAD,NL,61,2,1,0,0,0,0,0,1,0,0,1,1,0,0.5,0,0.5,52,0,0,0,0,0,0
bailean01,2017,33,LAA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baileho02,2017,31,CIN,NL,17,35,28,4,7,2,0,0,0,0,0,0,11,0.25,0.25,0.321,0.571,48,9,0,0,7,0,0
bandaan01,2017,23,ARI,NL,7,6,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,1,0,0
bandyje01,2017,27,MIL,NL,60,188,169,14,35,6,0,6,18,1,0,15,51,0.207,0.287,0.349,0.636,65,59,5,4,0,0,0
barbajo01,2017,24,PIT,NL,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
barneau01,2017,27,LAD,NL,102,262,218,35,63,15,2,8,38,4,1,39,43,0.289,0.408,0.486,0.895,137,106,6,5,0,0,1
barneda01,2017,31,TOR,AL,129,362,336,34,78,14,0,6,25,7,2,18,64,0.232,0.275,0.327,0.602,57,110,13,2,5,1,0
barneda02,2017,27,TOR,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
